local_row_0based,local_col_0based,global_line_1based,global_col_1based,count_uint16,quality_code,radiance_w_m2_sr_um,brightness_temp_c,is_projected_hko_pixel
536,2764,2737,2765,1589,0,9.234923,22.942356,False
536,2765,2737,2766,1586,0,9.246181,23.018894,False
536,2766,2737,2767,1598,0,9.201151,22.712416,False
536,2767,2737,2768,1587,0,9.242429,22.993387,False
536,2768,2737,2769,1572,0,9.298716,23.375349,False
536,2769,2737,2770,1564,0,9.328736,23.57851,False
536,2770,2737,2771,1565,0,9.324984,23.553135,False
536,2771,2737,2772,1576,0,9.283706,23.273624,False
536,2772,2737,2773,1596,0,9.208656,22.763556,False
536,2773,2737,2774,1603,0,9.182388,22.584457,False
536,2774,2737,2775,1578,0,9.276201,23.222727,False
536,2775,2737,2776,1578,0,9.276201,23.222727,False
536,2776,2737,2777,1579,0,9.272449,23.19727,False
536,2777,2737,2778,1580,0,9.268696,23.171804,False
536,2778,2737,2779,1570,0,9.306221,23.426176,False
536,2779,2737,2780,1578,0,9.276201,23.222727,False
536,2780,2737,2781,1571,0,9.302468,23.400764,False
536,2781,2737,2782,1562,0,9.336241,23.62924,False
536,2782,2737,2783,1559,0,9.347499,23.705292,False
537,2762,2738,2763,1618,0,9.126101,22.199661,False
537,2763,2738,2764,1590,0,9.231171,22.916832,False
537,2764,2738,2765,1576,0,9.283706,23.273624,False
537,2765,2738,2766,1575,0,9.287458,23.299065,False
537,2766,2738,2767,1592,0,9.223666,22.865765,False
537,2767,2738,2768,1584,0,9.253686,23.06989,False
537,2768,2738,2769,1581,0,9.264943,23.146336,False
537,2769,2738,2770,1572,0,9.298716,23.375349,False
537,2770,2738,2771,1564,0,9.328736,23.57851,False
537,2771,2738,2772,1561,0,9.3399935,23.654596,False
537,2772,2738,2773,1562,0,9.336241,23.62924,False
537,2773,2738,2774,1559,0,9.347499,23.705292,False
537,2774,2738,2775,1560,0,9.343746,23.679947,False
537,2775,2738,2776,1558,0,9.351252,23.730629,False
537,2776,2738,2777,1556,0,9.358756,23.781288,False
537,2777,2738,2778,1559,0,9.347499,23.705292,False
537,2778,2738,2779,1560,0,9.343746,23.679947,False
537,2779,2738,2780,1577,0,9.279954,23.248178,False
537,2780,2738,2781,1585,0,9.249933,23.044394,False
537,2781,2738,2782,1560,0,9.343746,23.679947,False
537,2782,2738,2783,1565,0,9.324984,23.553135,False
538,2762,2739,2763,1623,0,9.107338,22.071087,False
538,2763,2739,2764,1595,0,9.212408,22.789118,False
538,2764,2739,2765,1575,0,9.287458,23.299065,False
538,2765,2739,2766,1570,0,9.306221,23.426176,False
538,2766,2739,2767,1571,0,9.302468,23.400764,False
538,2767,2739,2768,1572,0,9.298716,23.375349,False
538,2768,2739,2769,1586,0,9.246181,23.018894,False
538,2769,2739,2770,1583,0,9.257439,23.095377,False
538,2770,2739,2771,1570,0,9.306221,23.426176,False
538,2771,2739,2772,1561,0,9.3399935,23.654596,False
538,2772,2739,2773,1559,0,9.347499,23.705292,False
538,2773,2739,2774,1557,0,9.355003,23.755962,False
538,2774,2739,2775,1560,0,9.343746,23.679947,False
538,2775,2739,2776,1557,0,9.355003,23.755962,False
538,2776,2739,2777,1557,0,9.355003,23.755962,False
538,2777,2739,2778,1561,0,9.3399935,23.654596,False
538,2778,2739,2779,1559,0,9.347499,23.705292,False
538,2779,2739,2780,1567,0,9.317478,23.502369,False
538,2780,2739,2781,1576,0,9.283706,23.273624,False
538,2781,2739,2782,1562,0,9.336241,23.62924,False
538,2782,2739,2783,1565,0,9.324984,23.553135,False
539,2762,2740,2763,1614,0,9.14111,22.302408,False
539,2763,2740,2764,1607,0,9.167378,22.481981,False
539,2764,2740,2765,1582,0,9.261191,23.12086,False
539,2765,2740,2766,1579,0,9.272449,23.19727,False
539,2766,2740,2767,1574,0,9.291211,23.3245,False
539,2767,2740,2768,1571,0,9.302468,23.400764,False
539,2768,2740,2769,1582,0,9.261191,23.12086,False
539,2769,2740,2770,1580,0,9.268696,23.171804,False
539,2770,2740,2771,1569,0,9.309974,23.45158,False
539,2771,2740,2772,1563,0,9.332489,23.603878,False
539,2772,2740,2773,1564,0,9.328736,23.57851,False
539,2773,2740,2774,1562,0,9.336241,23.62924,False
539,2774,2740,2775,1564,0,9.328736,23.57851,False
539,2775,2740,2776,1563,0,9.332489,23.603878,False
539,2776,2740,2777,1558,0,9.351252,23.730629,False
539,2777,2740,2778,1560,0,9.343746,23.679947,False
539,2778,2740,2779,1563,0,9.332489,23.603878,False
539,2779,2740,2780,1568,0,9.313726,23.476978,False
539,2780,2740,2781,1576,0,9.283706,23.273624,False
539,2781,2740,2782,1568,0,9.313726,23.476978,False
539,2782,2740,2783,1573,0,9.294964,23.349928,False
