official_max_bin,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
29,B6_month_climatology_diagnostic,diagnostic,405,0.1318931579566324,2.2884888993333248,0.08411396195677251,1.3189315795663237,0.1426987447992903,0.7690705496224248,1.9324304217526678
29,B0_climatology,baseline,405,0.1473671347957104,2.606044128143535,0.09549354876341751,1.4736713479571037,0.3974859515912206,0.40382711090832785,2.009001259634553
30,P2_student_t_mos,mos,433,0.07683276319438484,1.753704405252415,0.07252969261741138,0.7683276319438485,0.018616088468410133,0.04492410056626406,1.7257986768485662
30,P1_normal_mos,mos,433,0.07698756580460624,1.7577929656900197,0.07262338699970787,0.7698756580460623,0.040906009259490485,0.06057925170059636,1.6473746826583293
30,T1_time_decay_b4,time_decay_residual_pmf,433,0.07723577387444557,1.763007347595611,0.07255714163699264,0.7723577387444557,0.047327154203802305,0.06402740054226991,1.622446072409762
30,C2_ordinal_cdf_logistic,direct_classifier,433,0.07723941677038997,1.7537233358756694,0.0724144282755279,0.7723941677038995,0.03425317135275971,0.08473678213135688,1.7278271444260438
30,C1_multinomial_ridge,direct_classifier,433,0.07733780752929395,1.744383439041301,0.0724713498224599,0.7733780752929394,0.016126551732570837,0.062250917078735646,1.678328758806081
30,S1_conservative_simplex_stack,stack,433,0.07736526331219132,1.7831638523180509,0.0727967648940034,0.7736526331219131,0.04549430711753817,0.08001291191756127,1.6150160265238813
30,K1_B4_power_calibrated,calibration,433,0.07741548302036977,1.7912215506921338,0.07278589742494622,0.7741548302036975,0.040773967639452936,0.041511466591575286,1.6220679932124529
30,B5_kernel_analog_pmf,analog_pmf,433,0.07745178728851936,1.8658990675241953,0.07281665392366203,0.7745178728851938,0.058147063812345794,0.06608513255094473,1.6128650272810363
30,B4_hierarchical_residual_pmf,residual_pmf,433,0.07752436683944586,1.80079210655278,0.07291510579808828,0.7752436683944586,0.04914573797075981,0.054165696694756404,1.5963651780400065
30,K0_B4_identity,calibration,433,0.07752436683944586,1.80079210655278,0.07291510579808828,0.7752436683944586,0.04914573797075981,0.054165696694756404,1.5963651780400065
30,K2_B4_monotone_cdf_projected,calibration,433,0.07752436683944586,1.8007921065527803,0.07291510579808828,0.7752436683944586,0.04914573797075981,0.054165696694756404,1.5963651780400065
30,H1_b4_challenger_linear_pool,hybrid_pool,433,0.07755494381355031,1.793059253187502,0.07294955735088493,0.7755494381355029,0.0402108515864321,0.04219269817934829,1.600158007708551
30,E2_student_t_emos,emos,433,0.07778263995547634,1.8140746466842568,0.07358679611638809,0.7778263995547635,0.05068975663371033,0.05134733563755689,1.608157898822783
30,B3_forecast_level_residual_pmf,residual_pmf,433,0.07783663427240593,1.7708003597720643,0.07311823759229992,0.7783663427240592,0.04216513359532248,0.04216513359532248,1.60971192931331
30,B1_global_residual_pmf,residual_pmf,433,0.07790639912568072,1.7763059128353123,0.07287204870290623,0.7790639912568074,0.02697046141485382,0.02697046141485382,1.6473260321573664
30,B2_month_residual_pmf,residual_pmf,433,0.07824413861693816,1.7971884797522852,0.07326347886088463,0.7824413861693817,0.026085102672370745,0.02626183343830782,1.5982407791282305
30,E1_normal_emos,emos,433,0.07984970856353775,2.0033429932424016,0.07521905862750237,0.7984970856353777,0.08766365261667733,0.11403221308775713,1.3119459262328395
30,Q2_threshold_cdf_gb,threshold_cdf,433,0.08061700669320392,1.8540828344456914,0.07346430923355654,0.8061700669320393,0.013151274232229062,0.03192117785363752,1.8191400623118592
30,G1_gamlss_tree_location_scale,gamlss_tree,433,0.08172935366735945,2.166256354653578,0.07717499066806813,0.8172935366735945,0.14188668766782184,0.18330651915295243,1.2125471974453328
30,E3_two_piece_normal_emos,emos,433,0.08294742725083504,2.455883221404387,0.07892557652316837,0.8294742725083505,0.15462489487934766,0.16580338478691048,1.0944485870643483
30,Q1_quantile_cdf_gb,quantile_cdf,433,0.09309744112999016,1.9918541883639396,0.07516815300664915,0.9309744112999017,0.030215678146825933,0.11682711193429512,2.071306628951351
30,B6_month_climatology_diagnostic,diagnostic,433,0.12401703888019448,2.1991042197469435,0.08170855659574072,1.2401703888019449,0.10806815004712372,0.7616560138977695,1.9882140760721152
