target_month,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
6,B2_month_residual_pmf,residual_pmf,450,0.05733018867101581,1.4690683813212713,0.06619762908474906,0.573301886710158,0.05039411762418203,0.5057380938391742,1.528112678273584
6,K1_B4_power_calibrated,calibration,450,0.05736150366219786,1.4685546964195777,0.06607692653831833,0.5736150366219785,0.020767014480244577,0.39973070051218795,1.5027271214971214
6,B5_kernel_analog_pmf,analog_pmf,450,0.057400954600724696,1.5476291717447002,0.06667500262397216,0.574009546007247,0.037312502783371476,0.14292827507391315,1.4426153049017836
6,P1_normal_mos,mos,450,0.05743188094632755,1.470822871115903,0.06650570746710321,0.5743188094632755,0.06376969108507301,0.2664419278563683,1.5918267357492177
6,P2_student_t_mos,mos,450,0.05773470335634449,1.488230408126985,0.06667869161459355,0.5773470335634449,0.07117572386433513,0.265828073924389,1.6533990184975478
6,C1_multinomial_ridge,direct_classifier,450,0.0592720378781003,1.507420005728765,0.06784107235118551,0.592720378781003,0.019559558852239894,0.2649795640099568,1.5560235673567706
6,C2_ordinal_cdf_logistic,direct_classifier,450,0.060327025431423334,1.5347488712712298,0.06831134140027523,0.6032702543142333,0.027209235867020926,0.5043193153215938,1.6003911877509518
6,B6_month_climatology_diagnostic,diagnostic,450,0.11392696031931274,2.112766915430525,0.0782751973881307,1.1392696031931275,0.05358772628120466,0.06754217077310354,2.076874402983718
6,B0_climatology,baseline,450,0.2716899872741012,2.7776504843971908,0.09652051152355007,2.716899872741012,0.395763346378708,0.4036612199025619,2.0074944308086904
7,S1_conservative_simplex_stack,stack,465,0.057677908082911324,1.4226161122889907,0.063541935444857,0.5767790808291133,0.03282616831655615,0.054675574440773866,1.361634326997444
7,K1_B4_power_calibrated,calibration,465,0.057688536507782856,1.4227357888188485,0.06353101339362537,0.5768853650778285,0.04114428226790143,0.11779038495749503,1.3561508942309646
7,B4_hierarchical_residual_pmf,residual_pmf,465,0.05774098999478317,1.4269184227137626,0.06360503253018857,0.5774098999478318,0.037341909433537074,0.07166730601087878,1.3301115117461475
7,K0_B4_identity,calibration,465,0.05774098999478317,1.4269184227137626,0.06360503253018857,0.5774098999478318,0.037341909433537074,0.07166730601087878,1.3301115117461475
7,K2_B4_monotone_cdf_projected,calibration,465,0.05774098999478317,1.4269184227137626,0.06360503253018857,0.5774098999478319,0.037341909433537074,0.07166730601087878,1.3301115117461475
7,B5_kernel_analog_pmf,analog_pmf,465,0.05789838088936204,1.51463907068774,0.0634856624100627,0.5789838088936204,0.04169312036602481,0.09093013541411821,1.3358064775869383
7,B1_global_residual_pmf,residual_pmf,465,0.058135509684558245,1.4521339891121658,0.06477263015565218,0.5813550968455826,0.026293991484223612,0.04225586160934969,1.4614060799280737
7,B2_month_residual_pmf,residual_pmf,465,0.058187305807652905,1.4509040749504871,0.0645528029909494,0.5818730580765291,0.010008934051180177,0.0654009640434764,1.3786682520956386
7,B3_forecast_level_residual_pmf,residual_pmf,465,0.05849288993853127,1.452437747259988,0.06410618043311757,0.5849288993853128,0.034130809237156216,0.03971614671668444,1.355145583329105
7,P1_normal_mos,mos,465,0.05877102309468102,1.4649794693499965,0.0650611406024973,0.5877102309468102,0.07114074241389726,0.1111676511088322,1.5022069957316158
7,P2_student_t_mos,mos,465,0.05892454472629966,1.4711672464805459,0.0651791115172619,0.5892454472629964,0.06459860449355886,0.07871182972513302,1.558615008813615
7,C1_multinomial_ridge,direct_classifier,465,0.059480150494059844,1.459484117195399,0.06508109210223344,0.5948015049405985,0.03280380794497031,0.2600199440655657,1.4602266523284035
