target_year,target_month,cutoff_profile,rows
2016,9,t_minus_1_2100_hkt,29
2016,9,t_minus_1_2359_hkt,30
2016,10,t_minus_1_1800_hkt,30
2016,10,t_minus_1_2100_hkt,30
2016,10,t_minus_1_2359_hkt,31
2016,11,t_minus_1_1800_hkt,22
2016,11,t_minus_1_2100_hkt,22
2016,11,t_minus_1_2359_hkt,30
2016,12,t_minus_1_1800_hkt,22
2016,12,t_minus_1_2100_hkt,22
2016,12,t_minus_1_2359_hkt,31
2017,1,t_minus_1_1800_hkt,20
2017,1,t_minus_1_2100_hkt,20
2017,1,t_minus_1_2359_hkt,31
2017,2,t_minus_1_1800_hkt,22
2017,2,t_minus_1_2100_hkt,22
2017,2,t_minus_1_2359_hkt,28
2017,3,t_minus_1_1800_hkt,27
2017,3,t_minus_1_2100_hkt,27
2017,3,t_minus_1_2359_hkt,31
2017,4,t_minus_1_1800_hkt,27
2017,4,t_minus_1_2100_hkt,28
2017,4,t_minus_1_2359_hkt,30
2017,5,t_minus_1_1800_hkt,31
2017,5,t_minus_1_2100_hkt,31
2017,5,t_minus_1_2359_hkt,31
2017,6,t_minus_1_1800_hkt,28
2017,6,t_minus_1_2100_hkt,28
2017,6,t_minus_1_2359_hkt,30
2017,7,t_minus_1_1800_hkt,29
2017,7,t_minus_1_2100_hkt,31
2017,7,t_minus_1_2359_hkt,31
2017,8,t_minus_1_1800_hkt,30
2017,8,t_minus_1_2100_hkt,31
2017,8,t_minus_1_2359_hkt,31
2017,9,t_minus_1_1800_hkt,30
2017,9,t_minus_1_2100_hkt,30
2017,9,t_minus_1_2359_hkt,30
2017,10,t_minus_1_1800_hkt,27
2017,10,t_minus_1_2100_hkt,28
2017,10,t_minus_1_2359_hkt,31
2017,11,t_minus_1_1800_hkt,26
2017,11,t_minus_1_2100_hkt,26
2017,11,t_minus_1_2359_hkt,30
2017,12,t_minus_1_1800_hkt,27
2017,12,t_minus_1_2100_hkt,29
2017,12,t_minus_1_2359_hkt,31
2018,1,t_minus_1_1800_hkt,29
2018,1,t_minus_1_2100_hkt,29
2018,1,t_minus_1_2359_hkt,31
2018,2,t_minus_1_1800_hkt,24
2018,2,t_minus_1_2100_hkt,24
2018,2,t_minus_1_2359_hkt,28
2018,3,t_minus_1_1800_hkt,28
2018,3,t_minus_1_2100_hkt,28
2018,3,t_minus_1_2359_hkt,31
2018,4,t_minus_1_1800_hkt,29
2018,4,t_minus_1_2100_hkt,29
2018,4,t_minus_1_2359_hkt,30
2018,5,t_minus_1_1800_hkt,26
2018,5,t_minus_1_2100_hkt,28
