bucket,one_vs_rest_brier,validation_split,method
26,0.03599293914486213,fold2,S1_conservative_simplex_stack
27,0.03468825557545299,fold2,S1_conservative_simplex_stack
28,0.05187560574532324,fold2,S1_conservative_simplex_stack
29,0.055275747486736394,fold2,S1_conservative_simplex_stack
30,0.05681971388967757,fold2,S1_conservative_simplex_stack
31,0.060937845634066616,fold2,S1_conservative_simplex_stack
32,0.06594061505267258,fold2,S1_conservative_simplex_stack
33,0.04221750519932377,fold2,S1_conservative_simplex_stack
34_or_higher,0.01973134475484525,fold2,S1_conservative_simplex_stack
24_or_below,0.23188297537695526,fold3,B0_climatology
25,0.04692684354212614,fold3,B0_climatology
26,0.055051337943542666,fold3,B0_climatology
27,0.05987531627110142,fold3,B0_climatology
28,0.062301527666629934,fold3,B0_climatology
29,0.053182991049367585,fold3,B0_climatology
30,0.0700902746509844,fold3,B0_climatology
31,0.08094643415007031,fold3,B0_climatology
32,0.08455826875222182,fold3,B0_climatology
33,0.05715765829823215,fold3,B0_climatology
34_or_higher,0.028691716296657854,fold3,B0_climatology
24_or_below,0.0361897714285728,fold3,B1_global_residual_pmf
25,0.037759064691305404,fold3,B1_global_residual_pmf
26,0.044292309839212375,fold3,B1_global_residual_pmf
27,0.04792577061990912,fold3,B1_global_residual_pmf
28,0.048896925973169116,fold3,B1_global_residual_pmf
29,0.04560998646549871,fold3,B1_global_residual_pmf
30,0.057203805584259124,fold3,B1_global_residual_pmf
31,0.0656934958296449,fold3,B1_global_residual_pmf
32,0.062607035144716,fold3,B1_global_residual_pmf
33,0.0438776976169093,fold3,B1_global_residual_pmf
34_or_higher,0.020928708570438295,fold3,B1_global_residual_pmf
24_or_below,0.03602045617721704,fold3,B2_month_residual_pmf
25,0.03780993417516319,fold3,B2_month_residual_pmf
26,0.044747024940860455,fold3,B2_month_residual_pmf
27,0.047740144833015245,fold3,B2_month_residual_pmf
28,0.04849279620765407,fold3,B2_month_residual_pmf
29,0.04648432800914255,fold3,B2_month_residual_pmf
30,0.05696479971987924,fold3,B2_month_residual_pmf
31,0.06647908384315963,fold3,B2_month_residual_pmf
32,0.06256597467755164,fold3,B2_month_residual_pmf
33,0.04394153230489075,fold3,B2_month_residual_pmf
34_or_higher,0.020181593036111146,fold3,B2_month_residual_pmf
24_or_below,0.03585123946620677,fold3,B3_forecast_level_residual_pmf
25,0.03825288778392198,fold3,B3_forecast_level_residual_pmf
26,0.04451600791793647,fold3,B3_forecast_level_residual_pmf
27,0.048461170533766765,fold3,B3_forecast_level_residual_pmf
28,0.0494719770038649,fold3,B3_forecast_level_residual_pmf
29,0.04565209186449199,fold3,B3_forecast_level_residual_pmf
30,0.05702572420448932,fold3,B3_forecast_level_residual_pmf
31,0.06598549517292103,fold3,B3_forecast_level_residual_pmf
32,0.06175717882646182,fold3,B3_forecast_level_residual_pmf
33,0.04374158786876799,fold3,B3_forecast_level_residual_pmf
34_or_higher,0.02018132819984658,fold3,B3_forecast_level_residual_pmf
24_or_below,0.0368976014830512,fold3,B4_hierarchical_residual_pmf
