bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
5,0.5,0.6000000000000001,12,0.5570682315227148,0.8333333333333334,0.2762651018106186,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
6,0.6000000000000001,0.7000000000000001,16,0.6479527281577637,0.5625,0.08545272815776372,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
7,0.7000000000000001,0.8,17,0.7396085912583168,0.7058823529411765,0.03372623831714028,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
8,0.8,0.9,30,0.8674736640287665,0.9,0.032526335971233555,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
9,0.9,1.0,158,0.9919018585053889,1.0,0.008098141494611077,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
2,0.2,0.30000000000000004,86,0.2677497537196518,0.2558139534883721,0.011935800231279714,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
3,0.30000000000000004,0.4,224,0.35078119804213836,0.35267857142857145,0.0018973733864330877,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
4,0.4,0.5,128,0.4334713236130536,0.4609375,0.027466176386946373,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
5,0.5,0.6000000000000001,7,0.5102280053733087,0.5714285714285714,0.061200566055262695,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
6,0.6000000000000001,0.7000000000000001,24,0.647235976139272,0.7083333333333334,0.0610973571940614,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
7,0.7000000000000001,0.8,9,0.7553872653288963,0.6666666666666666,0.0887205986622297,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
8,0.8,0.9,31,0.8504470394070883,0.8709677419354839,0.02052070252839555,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
9,0.9,1.0,158,0.9919173808598377,1.0,0.008082619140162284,presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
1,0.1,0.2,115,0.18296674122543244,0.16521739130434782,0.017749349921084623,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
2,0.2,0.30000000000000004,241,0.23814211795202583,0.17427385892116182,0.06386825903086402,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
3,0.30000000000000004,0.4,53,0.39680997490081776,0.32075471698113206,0.0760552579196857,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
4,0.4,0.5,46,0.48695567840170684,0.391304347826087,0.09565133057561986,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
5,0.5,0.6000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
6,0.6000000000000001,0.7000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
7,0.7000000000000001,0.8,56,0.7527634798751162,0.5178571428571429,0.23490633701797325,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
8,0.8,0.9,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
9,0.9,1.0,156,0.948855686230016,0.9423076923076923,0.006547993922323747,presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
2,0.2,0.30000000000000004,265,0.2943067659854303,0.3849056603773585,0.0905988943919282,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
3,0.30000000000000004,0.4,116,0.3039219462216036,0.28448275862068967,0.019439187600913954,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
4,0.4,0.5,60,0.46729644548918936,0.5333333333333333,0.06603688784414397,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
5,0.5,0.6000000000000001,4,0.506830667736737,0.5,0.006830667736737017,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
6,0.6000000000000001,0.7000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
7,0.7000000000000001,0.8,47,0.7456629942948639,0.723404255319149,0.022258738975714953,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
8,0.8,0.9,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
9,0.9,1.0,175,0.984810602180531,0.9942857142857143,0.00947511210518337,presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
2,0.2,0.30000000000000004,374,0.2892089931203946,0.35294117647058826,0.06373218335019365,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
3,0.30000000000000004,0.4,7,0.3127031064939028,0.42857142857142855,0.11586832207752573,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
4,0.4,0.5,60,0.4679797025758931,0.5333333333333333,0.06535363075744022,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
5,0.5,0.6000000000000001,4,0.5066897313939432,0.5,0.0066897313939432435,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
6,0.6000000000000001,0.7000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
7,0.7000000000000001,0.8,47,0.7393988099707667,0.723404255319149,0.0159945546516177,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
8,0.8,0.9,1,0.8940631461817927,1.0,0.10593685381820728,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
9,0.9,1.0,174,0.9807024310919353,0.9942528735632183,0.013550442471283008,presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge
2,0.2,0.30000000000000004,174,0.28053133170232813,0.26436781609195403,0.016163515610374102,presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge
3,0.30000000000000004,0.4,196,0.3434798905514253,0.32653061224489793,0.01694927830652737,presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge
4,0.4,0.5,76,0.4378701872242881,0.4342105263157895,0.0036596609084986187,presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge
