method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy
P1_normal_mos,mos,fold4,731,0.044253264709063045,0.0004145171021441296,-0.009455495988637866,1.1110583099035074,0.04941639623908213,0.44253264709063045,0.04827149355535277,0.08945169493902133,1.1023257478414012
P2_student_t_mos,mos,fold4,731,0.04431889544370668,0.0004801478367877643,-0.010952590185582405,1.114086961243908,0.04945771803216682,0.44318895443706685,0.051822527752952124,0.0734697541744348,1.1524477575995822
C1_multinomial_ridge,direct_classifier,fold4,731,0.04468940635335887,0.0008506587464399556,-0.019404266610611367,1.1201068285118705,0.04961472386878209,0.4468940635335888,0.02341096642726062,0.6260480771768357,1.125498011148022
C2_ordinal_cdf_logistic,direct_classifier,fold4,731,0.04498828357376764,0.0011495359668487262,-0.02622191621795553,1.1206008374862815,0.04945624204940175,0.44988283573767635,0.02944289059337244,0.38447428171843845,1.1501558529612155
B6_month_climatology_diagnostic,diagnostic,fold4,731,0.09232564626282354,0.04848689865590462,-1.106028372221384,1.663681568419966,0.06199140778142489,0.9232564626282352,0.09233832237206886,0.28311892629409974,1.3886222790677605
B0_climatology,baseline,fold4,731,0.20643565425233895,0.16259690664542004,-3.7089770014268826,2.2196658673594225,0.07763795363373109,2.0643565425233885,0.06792802918997282,0.06792802918997282,2.018846396647937
B2_month_residual_pmf,residual_pmf,presealed_2022_2023,730,0.041769953429811796,-0.0003509523524143701,0.008332022920610176,1.037248689755191,0.04661033199657158,0.4176995342981179,0.019604854617565608,0.05273756002801433,1.0502117775906297
B1_global_residual_pmf,residual_pmf,presealed_2022_2023,730,0.041772524560580934,-0.0003483812216452317,0.008270981242579042,1.0429159520705342,0.04675928725051807,0.41772524560580937,0.020019927841822948,0.06260323863818329,1.0540915233122956
B5_kernel_analog_pmf,analog_pmf,presealed_2022_2023,730,0.04180075910717654,-0.0003201466750496276,0.007600659793615371,1.0521582509200929,0.04681158610435717,0.4180075910717653,0.022438639509578806,0.25901687641182014,1.0176715589749337
B3_forecast_level_residual_pmf,residual_pmf,presealed_2022_2023,730,0.04199340315335069,-0.0001275026288754741,0.0030270628446284887,1.0395270931277454,0.04687275708802443,0.41993403153350695,0.012929206026437327,0.04161835428993982,1.041882442539295
S1_conservative_simplex_stack,stack,presealed_2022_2023,730,0.042007232797657154,-0.00011367298456901181,0.002698730771762715,1.0420863862321297,0.046818256605941126,0.4200723279765715,0.03330143437297699,0.16408261775510702,1.0397399035150123
P1_normal_mos,mos,presealed_2022_2023,730,0.04202526200011361,-9.56437821125547e-05,0.0022706962335295668,1.0418753265629166,0.04698162352798748,0.42025262000113606,0.02547021451568165,0.05904261955465445,1.0692789764020105
P2_student_t_mos,mos,presealed_2022_2023,730,0.042110089951596125,-1.0815830630041268e-05,0.00025678058031233607,1.0490875926242442,0.047027345934120446,0.42110089951596125,0.04988003144358272,0.303629474054281,1.1176667768699644
B4_hierarchical_residual_pmf,residual_pmf,presealed_2022_2023,730,0.042120905782226166,0.0,0.0,1.0465622707551683,0.04690589566462004,0.4212090578222616,0.0325748296243969,0.15476981748741625,1.029522712741791
K2_B4_monotone_cdf_projected,calibration,presealed_2022_2023,730,0.042120905782226166,0.0,0.0,1.0465622707551683,0.04690589566462004,0.4212090578222617,0.03257482962439697,0.15476981748741636,1.0295227127417919
K0_B4_identity,calibration,presealed_2022_2023,730,0.042120905782226166,0.0,0.0,1.0465622707551683,0.04690589566462004,0.4212090578222616,0.0325748296243969,0.15476981748741625,1.029522712741791
K1_B4_power_calibrated,calibration,presealed_2022_2023,730,0.04213400212116211,1.3096338935945917e-05,-0.00031092253817277126,1.0462338445899628,0.04688221794153786,0.42134002121162106,0.028670870184123322,0.13522113660460122,1.0502676693486703
C1_multinomial_ridge,direct_classifier,presealed_2022_2023,730,0.042944076440231994,0.0008231706580058284,-0.019543042646371182,1.056852297918036,0.0478273640627534,0.42944076440232,0.023454184698045954,0.33421994192647086,1.103760990361507
C2_ordinal_cdf_logistic,direct_classifier,presealed_2022_2023,730,0.043431753141168566,0.0013108473589424005,-0.031121062916352124,1.0707741070583026,0.04822345057045005,0.43431753141168566,0.03538467306672894,0.13978477364028652,1.1309072268880276
B6_month_climatology_diagnostic,diagnostic,presealed_2022_2023,730,0.0964682803626835,0.05434737458045733,-1.2902707947793086,1.6693653814438554,0.06133832587333031,0.9646828036268348,0.07258420806823213,0.2692476741630654,1.4118107500864332
B0_climatology,baseline,presealed_2022_2023,730,0.2042039992809267,0.16208309349870054,-3.8480438748564385,2.212717092700977,0.07683561677772242,2.042039992809267,0.04622946529102373,0.04622946529102373,2.0364304386728938
B5_kernel_analog_pmf,analog_pmf,sealed_2024_2026_05,882,0.04292039063809894,-0.0002537305787002203,0.005876913566488369,1.0651739079865117,0.04668353986845896,0.4292039063809893,0.04234544615269589,0.1684283623051347,1.0162650934420425
S1_conservative_simplex_stack,stack,sealed_2024_2026_05,882,0.043125705093509,-4.8416123290158375e-05,0.0011214153739698943,1.0519172372877421,0.046772971250247194,0.4312570509350899,0.03405382638869903,0.18803920951264663,1.0353710867914956
K1_B4_power_calibrated,calibration,sealed_2024_2026_05,882,0.043155327449533536,-1.8793767265622152e-05,0.00043530167461311176,1.053810951646805,0.046783112523956255,0.4315532744953353,0.03233711344208274,0.13907598967112433,1.0478374886522626
B4_hierarchical_residual_pmf,residual_pmf,sealed_2024_2026_05,882,0.04317412121679916,0.0,0.0,1.0546407998342586,0.04682486672172511,0.43174121216799155,0.031253270625876545,0.1126857115685777,1.0280662235079896
K2_B4_monotone_cdf_projected,calibration,sealed_2024_2026_05,882,0.04317412121679916,0.0,0.0,1.0546407998342588,0.04682486672172511,0.43174121216799155,0.03125327062587662,0.11268571156857776,1.0280662235079907
K0_B4_identity,calibration,sealed_2024_2026_05,882,0.04317412121679916,0.0,0.0,1.0546407998342586,0.04682486672172511,0.43174121216799155,0.031253270625876545,0.1126857115685777,1.0280662235079896
C1_multinomial_ridge,direct_classifier,sealed_2024_2026_05,882,0.043350483847637414,0.00017636263083825598,-0.004084915358268667,1.062499416107161,0.047051268795914175,0.43350483847637405,0.03163342119852648,0.47529006660011786,1.0790627044566443
P1_normal_mos,mos,sealed_2024_2026_05,882,0.043389231682993704,0.00021511046619454577,-0.004982393622197126,1.057599124194331,0.04703483758250701,0.433892316829937,0.02978843700611164,0.1638128144103167,1.0499360021327457
P2_student_t_mos,mos,sealed_2024_2026_05,882,0.0434176733978893,0.00024355218109014393,-0.005641161284259728,1.062243921505331,0.04706871441500932,0.43417673397889295,0.04312648495722757,0.1638715998703384,1.0989565499619405
B3_forecast_level_residual_pmf,residual_pmf,sealed_2024_2026_05,882,0.043458010645746226,0.0002838894289470678,-0.0065754535575030006,1.0599712692390513,0.04702190741269689,0.43458010645746226,0.021302728669100626,0.06346466495179737,1.0300465080996215
C2_ordinal_cdf_logistic,direct_classifier,sealed_2024_2026_05,882,0.04350282711359476,0.00032870589679560164,-0.0076134936283937926,1.082501335657314,0.04717598418514932,0.4350282711359476,0.03505522803908202,0.15957202677063742,1.1023335079877732
B2_month_residual_pmf,residual_pmf,sealed_2024_2026_05,882,0.0436153289632458,0.0004412077464466396,-0.010219264087185742,1.0582808755350692,0.04703044700793743,0.43615328963245803,0.03357168314765861,0.2407038386573852,1.0536217684904166
B1_global_residual_pmf,residual_pmf,sealed_2024_2026_05,882,0.04362236173126431,0.00044824051446515356,-0.0103821572236366,1.0620765639749552,0.04714304599556245,0.4362236173126431,0.018506526051525137,0.13963579941578347,1.0404418019556247
B6_month_climatology_diagnostic,diagnostic,sealed_2024_2026_05,882,0.09761696614087131,0.054442844924072156,-1.261006440656592,1.6648524223511183,0.06082143528073023,0.9761696614087128,0.09691959363604769,0.259500073246517,1.3708901780053941
B0_climatology,baseline,sealed_2024_2026_05,882,0.19439329745293077,0.15121917623613162,-3.5025420778522265,2.1384382298378353,0.07553453616978587,1.9439329745293086,0.025433211795866606,0.025433211795866606,2.050450272984201
